network,component,baseline_conc,knockout_conc_final,knockout_min,recover_conc_final,knockout_success,recover_success,causally_internal,verdict
G: Network F + ALT5/6 + storage,G6P,7.984023968039954,0.0,0.0,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,FBP,14.606174021670594,0.0,0.0,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,PEP,59.49905742651788,0.0,0.0,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,PYR,0.0,0.0,0.0,5.725322275879648,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,AcCoA,13.320013320013324,0.0,0.0,0.0,True,False,False,HOMEOSTATIC
G: Network F + ALT5/6 + storage,ALA,100.0,0.0,0.0,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,ASP,100.0,0.0,0.0,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,MAL,100.0,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,GLU,99.75,0.0,0.0,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,Glycogen,95.75798801598002,0.0,0.0,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,PolyP,7.394266370212834,0.0,0.0,99.50990892441322,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,HK1,99.75,0.0286056736330361,0.0286056736330361,99.500625,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,HK2,99.75,0.0286056736330361,0.0286056736330361,99.500625,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,PFK1,99.75,0.0286056736330361,0.0286056736330361,60.247569093452114,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,PFK2,99.75,0.0286056736330361,0.0286056736330361,60.247569093452114,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,ALDO1,99.2518734375,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,ALDO2,99.2518734375,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,PYK1,99.75,0.0286056736330361,0.0286056736330361,5.346834971548021,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,PYK2,99.75,0.0286056736330361,0.0286056736330361,5.346834971548021,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,ALT1,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,ALT2,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,ALT3,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,ALT4,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,ALT5,99.75,0.0286056736330361,0.0286056736330361,9.744037335055825,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,ALT6,99.75,0.0286056736330361,0.0286056736330361,9.744037335055825,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,ASPAT1,74.14015926841985,0.0286056736330361,0.0286056736330361,84.11577054030212,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,ASPAT2,74.14015926841985,0.0286056736330361,0.0286056736330361,84.11577054030212,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,MDH1,74.14015926841985,0.0286056736330361,0.0286056736330361,50.496494341382856,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,MDH2,74.14015926841985,0.0286056736330361,0.0286056736330361,50.496494341383,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,PDH1,99.75,0.0286056736330361,0.0286056736330361,99.500625,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,PDH2,99.75,0.0286056736330361,0.0286056736330361,99.500625,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,PEPC1,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,PEPC2,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,ACK1,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,ACK2,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,GLY1,99.75,0.0286056736330361,0.0286056736330361,48.9872010803699,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,GLY2,99.75,0.0286056736330361,0.0286056736330361,48.987201080369886,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,GLYP1,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,GLYP2,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,PPK1,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,PPK2,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
G: Network F + ALT5/6 + storage,TF,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
